Elements,1, 5, 10, 50, 100, 500, 1000
benchmarkNaiveLongBloomFilter,7.542,9.348,14.118,17.939,20.272,21.252,22.586
benchmarkHashSet,15.983,19.011,21.199,19.025,19.438,21.131,21.328
benchmarkLinkedHashSet,14.920,18.810,22.055,19.280,17.593,21.117,21.356
benchmarkGoldmanSachsUnifiedSet,18.633,19.716,23.863,18.097,22.102,24.792,24.608
benchmarkSkipList,19.919,33.480,40.507,59.981,70.055,99.473,115.217
benchmarkBinarySearch,8.041,18.087,24.932,36.316,41.549,59.480,66.330
benchmarkTreeSet,14.848,24.813,31.321,45.731,55.385,88.784,92.996
benchmarkCopyOnWriteArray,13.882,19.615,23.820,59.906,118.865,567.128,1093.185
